train/total_loss,train/l_absa,train/l_rec,train/mse_loss,train/alpha,train/beta,train/lr,step
1.19921875,9.375,0.0,1.8359375,0.992881698685541,0.10800808897876643,8.899676375404531e-06,220
5.9375,8.25,4.875,1.9609375,0.9927199191102123,0.10819009100101112,9.142394822006472e-06,225
5.90625,8.875,4.78125,1.78125,0.9925581395348837,0.10837209302325582,9.304207119741101e-06,230
6.3125,8.3125,5.25,1.984375,0.9923963599595551,0.10855409504550051,9.546925566343042e-06,235
4.78125,6.25,3.9375,1.8671875,0.9922345803842265,0.1087360970677452,9.70873786407767e-06,240
5.65625,8.6875,4.5625,1.9140625,0.9920728008088979,0.1089180990899899,9.951456310679612e-06,245
4.875,8.6875,3.75,2.03125,0.9919110212335692,0.10910010111223459,1.0113268608414241e-05,250
4.65625,6.21875,3.828125,1.859375,0.9917492416582406,0.10928210313447928,1.0355987055016182e-05,255
5.1875,7.96875,4.15625,1.9375,0.991587462082912,0.10946410515672397,1.051779935275081e-05,260
4.03125,6.875,3.125,1.9453125,0.9914256825075835,0.10964610717896867,1.076051779935275e-05,265
4.5,5.1875,3.78125,1.890625,0.9912639029322547,0.10982810920121336,1.0922330097087378e-05,270
5.625,6.78125,4.71875,1.90625,0.9911021233569262,0.11001011122345804,1.116504854368932e-05,275
4.75,5.0,4.03125,1.921875,0.9909403437815976,0.11019211324570274,1.1326860841423948e-05,280
4.78125,5.375,4.03125,1.9375,0.990778564206269,0.11037411526794742,1.156957928802589e-05,285
0.68359375,4.5,0.0,1.8515625,0.9906167846309404,0.11055611729019212,1.1731391585760518e-05,290
4.5625,4.03125,3.953125,2.0,0.9904550050556117,0.11073811931243681,1.197411003236246e-05,295
4.28125,3.84375,3.703125,1.8125,0.9902932254802831,0.1109201213346815,1.2135922330097088e-05,300
5.1875,3.796875,4.59375,1.90625,0.9901314459049545,0.1111021233569262,1.237864077669903e-05,305
4.3125,2.421875,3.90625,1.8515625,0.9899696663296259,0.11128412537917089,1.2540453074433658e-05,310
0.6015625,3.71875,0.0,1.875,0.9898078867542973,0.11146612740141558,1.27831715210356e-05,315
3.84375,4.125,3.234375,1.8828125,0.9896461071789686,0.11164812942366027,1.2944983818770227e-05,320
3.859375,2.734375,3.390625,1.8203125,0.98948432760364,0.11183013144590497,1.3187702265372168e-05,325
0.443359375,2.265625,0.0,1.8984375,0.9893225480283114,0.11201213346814966,1.3349514563106797e-05,330
4.0,2.5,3.5625,1.828125,0.9891607684529828,0.11219413549039434,1.3592233009708738e-05,335
0.5283203125,3.0,0.0,1.90625,0.9889989888776543,0.11237613751263903,1.3754045307443367e-05,340
3.140625,1.875,2.796875,1.7890625,0.9888372093023255,0.11255813953488372,1.3996763754045308e-05,345
3.578125,2.34375,3.15625,1.8828125,0.988675429726997,0.11274014155712841,1.4158576051779937e-05,350
3.046875,1.1875,2.75,1.8515625,0.9885136501516684,0.11292214357937311,1.440129449838188e-05,355
0.357421875,1.453125,0.0,1.9375,0.9883518705763398,0.1131041456016178,1.4563106796116505e-05,360
3.703125,3.21875,3.1875,1.8671875,0.9881900910010111,0.1132861476238625,1.4805825242718446e-05,365
3.421875,1.984375,3.0625,1.7734375,0.9880283114256825,0.11346814964610719,1.4967637540453075e-05,370
3.109375,0.8359375,2.875,1.7265625,0.9878665318503539,0.11365015166835188,1.5210355987055016e-05,375
2.802734375,0.0,2.65625,1.7734375,0.9877047522750253,0.11383215369059657,1.5372168284789645e-05,380
3.421875,1.4140625,3.125,1.7265625,0.9875429726996967,0.11401415571284126,1.5614886731391588e-05,385
3.40625,1.8125,3.078125,1.578125,0.987381193124368,0.11419615773508596,1.5776699029126215e-05,390
0.3134765625,1.28125,0.0,1.671875,0.9872194135490394,0.11437815975733065,1.6019417475728158e-05,395
2.671875,1.671875,2.34375,1.7421875,0.9870576339737108,0.11456016177957534,1.6181229773462782e-05,400
2.890625,1.859375,2.546875,1.6015625,0.9868958543983822,0.11474216380182002,1.6423948220064725e-05,405
0.2216796875,0.484375,0.0,1.6640625,0.9867340748230536,0.11492416582406471,1.6585760517799352e-05,410
2.90625,2.125,2.515625,1.65625,0.9865722952477249,0.1151061678463094,1.6828478964401295e-05,415
0.5166015625,3.125,0.0,1.5703125,0.9864105156723963,0.1152881698685541,1.6990291262135926e-05,420
3.3125,1.6328125,3.0,1.7421875,0.9862487360970678,0.11547017189079879,1.7233009708737865e-05,425
2.515625,1.2265625,2.25,1.5078125,0.9860869565217392,0.11565217391304349,1.7394822006472492e-05,430
2.703125,1.2578125,2.4375,1.5625,0.9859251769464105,0.11583417593528818,1.763754045307443e-05,435
3.4375,2.078125,3.09375,1.625,0.9857633973710819,0.11601617795753287,1.7799352750809062e-05,440
0.291015625,1.109375,0.0,1.6171875,0.9856016177957533,0.11619817997977756,1.8042071197411005e-05,445
3.203125,1.3671875,2.9375,1.6328125,0.9854398382204247,0.11638018200202224,1.8203883495145632e-05,450
2.375,1.734375,2.046875,1.5078125,0.9852780586450961,0.11656218402426695,1.8446601941747575e-05,455
3.609375,1.328125,3.328125,1.6953125,0.9851162790697674,0.11674418604651163,1.8608414239482202e-05,460
2.015625,1.2109375,1.7265625,1.6875,0.9849544994944388,0.11692618806875632,1.8851132686084145e-05,465
0.3017578125,1.3125,0.0,1.484375,0.9847927199191102,0.11710819009100101,1.901294498381877e-05,470
0.39453125,1.96875,0.0,1.640625,0.9846309403437816,0.1172901921132457,1.9255663430420712e-05,475
3.625,0.875,3.421875,1.4296875,0.984469160768453,0.1174721941354904,1.941747572815534e-05,480
0.3173828125,1.4375,0.0,1.484375,0.9843073811931243,0.11765419615773509,1.9660194174757282e-05,485
0.212646484375,0.50390625,0.0,1.53125,0.9841456016177957,0.11783619817997978,1.982200647249191e-05,490
0.2333984375,0.828125,0.0,1.359375,0.9839838220424671,0.11801820020222448,2.0064724919093852e-05,495
2.828125,3.09375,2.359375,1.375,0.9838220424671386,0.11820020222446917,2.0226537216828483e-05,500
0.228515625,0.859375,0.0,1.265625,0.9836602628918099,0.11838220424671386,2.0469255663430422e-05,505
3.15625,1.15625,2.921875,1.3515625,0.9834984833164813,0.11856420626895856,2.063106796116505e-05,510
3.296875,2.25,2.953125,1.1953125,0.9833367037411527,0.11874620829120325,2.0873786407766992e-05,515
3.25,0.431640625,3.140625,1.0703125,0.9831749241658241,0.11892821031344794,2.103559870550162e-05,520
3.28125,1.03125,3.09375,1.046875,0.9830131445904955,0.11911021233569263,2.1278317152103562e-05,525
2.96875,2.046875,2.65625,1.0703125,0.9828513650151668,0.11929221435793731,2.144012944983819e-05,530
0.30810546875,1.765625,0.0,0.97265625,0.9826895854398382,0.119474216380182,2.1682847896440132e-05,535
0.17529296875,0.62890625,0.0,1.0,0.9825278058645096,0.1196562184024267,2.1844660194174756e-05,540
3.546875,0.8359375,3.40625,1.125,0.982366026289181,0.11983822042467139,2.2087378640776702e-05,545
0.14990234375,0.419921875,0.0,0.99609375,0.9822042467138524,0.12002022244691608,2.2249190938511326e-05,550
3.75,0.44921875,3.671875,1.015625,0.9820424671385237,0.12020222446916078,2.249190938511327e-05,555
2.546875,2.90625,2.15625,0.90234375,0.9818806875631951,0.12038422649140547,2.2653721682847896e-05,560
3.078125,0.5703125,2.96875,0.921875,0.9817189079878665,0.12056622851365016,2.289644012944984e-05,565
2.125,1.453125,1.8984375,0.7890625,0.981557128412538,0.12074823053589485,2.305825242718447e-05,570
2.9375,0.953125,2.796875,0.80859375,0.9813953488372094,0.12093023255813953,2.330097087378641e-05,575
2.453125,0.94921875,2.3125,0.8125,0.9812335692618807,0.12111223458038423,2.3462783171521036e-05,580
2.46875,0.61328125,2.359375,0.73046875,0.9810717896865521,0.12129423660262892,2.3705501618122976e-05,585
0.2353515625,1.3515625,0.0,0.7109375,0.9809100101112235,0.12147623862487361,2.3867313915857606e-05,590
3.65625,1.2578125,3.484375,0.76953125,0.9807482305358949,0.1216582406471183,2.411003236245955e-05,595
2.984375,1.5,2.78125,0.68359375,0.9805864509605662,0.121840242669363,2.4271844660194176e-05,600
0.33740234375,2.1875,0.0,0.69921875,0.9804246713852376,0.12202224469160769,2.451456310679612e-05,605
2.796875,0.392578125,2.734375,0.62890625,0.980262891809909,0.12220424671385238,2.4676375404530747e-05,610
2.96875,1.6796875,2.765625,0.65234375,0.9801011122345804,0.12238624873609708,2.491909385113269e-05,615
2.78125,1.671875,2.5625,0.6484375,0.9799393326592518,0.12256825075834177,2.5080906148867317e-05,620
0.194580078125,1.1171875,0.0,0.578125,0.9797775530839231,0.12275025278058646,2.532362459546926e-05,625
2.375,0.90234375,2.25,0.5703125,0.9796157735085945,0.12293225480283115,2.5485436893203883e-05,630
2.65625,1.515625,2.453125,0.55859375,0.9794539939332659,0.12311425682507585,2.5728155339805826e-05,635
3.59375,3.984375,3.109375,0.55859375,0.9792922143579373,0.12329625884732054,2.5889967637540453e-05,640
4.125,6.5625,3.3125,0.546875,0.9791304347826086,0.12347826086956522,2.6132686084142393e-05,645
2.0,3.078125,1.59375,0.546875,0.97896865520728,0.12366026289180991,2.6294498381877027e-05,650
2.875,2.5,2.5625,0.474609375,0.9788068756319515,0.1238422649140546,2.6537216828478966e-05,655
2.71875,0.57421875,2.65625,0.484375,0.9786450960566229,0.1240242669362993,2.6699029126213593e-05,660
2.921875,2.203125,2.65625,0.51953125,0.9784833164812943,0.12420626895854399,2.6941747572815533e-05,665
0.26416015625,1.6015625,0.0,0.6484375,0.9783215369059656,0.12438827098078868,2.7103559870550167e-05,670
3.921875,1.25,3.796875,0.5390625,0.978159757330637,0.12457027300303337,2.7346278317152106e-05,675
2.40625,1.703125,2.171875,0.6015625,0.9779979777553084,0.12475227502527807,2.7508090614886734e-05,680
0.1708984375,0.95703125,0.0,0.51171875,0.9778361981799798,0.12493427704752276,2.7750809061488676e-05,685
2.40625,2.671875,2.078125,0.5234375,0.9776744186046512,0.12511627906976744,2.79126213592233e-05,690
3.578125,0.9921875,3.46875,0.5625,0.9775126390293225,0.12529828109201213,2.8155339805825243e-05,695
3.8125,2.265625,3.5625,0.53125,0.9773508594539939,0.12548028311425682,2.8317152103559874e-05,700
3.390625,2.421875,3.109375,0.494140625,0.9771890798786653,0.12566228513650152,2.8559870550161816e-05,705
2.296875,0.57421875,2.21875,0.5,0.9770273003033367,0.1258442871587462,2.872168284789644e-05,710
2.6875,0.48828125,2.640625,0.5078125,0.9768655207280081,0.1260262891809909,2.8964401294498383e-05,715
2.015625,0.54296875,1.9375,0.52734375,0.9767037411526794,0.1262082912032356,2.912621359223301e-05,720
0.198486328125,1.09375,0.0,0.59765625,0.9765419615773508,0.1263902932254803,2.936893203883495e-05,725
0.150146484375,0.77734375,0.0,0.515625,0.9763801820020223,0.12657229524772498,2.9530744336569584e-05,730
3.109375,1.296875,2.96875,0.451171875,0.9762184024266937,0.12675429726996967,2.9773462783171523e-05,735
2.75,0.6171875,2.6875,0.412109375,0.976056622851365,0.12693629929221437,2.993527508090615e-05,740
3.015625,1.1953125,2.875,0.423828125,0.9758948432760364,0.12711830131445906,3.0177993527508093e-05,745
3.65625,1.546875,3.5,0.37109375,0.9757330637007078,0.12730030333670375,3.0339805825242717e-05,750
0.283203125,1.7734375,0.0,0.56640625,0.9755712841253792,0.12748230535894844,3.058252427184466e-05,755
2.328125,0.40234375,2.296875,0.39453125,0.9754095045500506,0.12766430738119314,3.074433656957929e-05,760
1.921875,0.5703125,1.8515625,0.466796875,0.9752477249747219,0.12784630940343783,3.098705501618123e-05,765
2.71875,1.015625,2.609375,0.48046875,0.9750859453993933,0.12802831142568252,3.114886731391586e-05,770
4.15625,0.9921875,4.0625,0.55078125,0.9749241658240647,0.12821031344792722,3.13915857605178e-05,775
2.84375,0.474609375,2.78125,0.56640625,0.9747623862487361,0.1283923154701719,3.155339805825243e-05,780
2.921875,1.5390625,2.734375,0.50390625,0.9746006066734075,0.1285743174924166,3.1796116504854373e-05,785
2.875,1.5625,2.703125,0.3828125,0.9744388270980788,0.12875631951466127,3.1957928802589e-05,790
0.13134765625,0.7109375,0.0,0.396484375,0.9742770475227502,0.128938321536906,3.220064724919094e-05,795
2.96875,2.25,2.703125,0.32421875,0.9741152679474216,0.12912032355915065,3.2362459546925564e-05,800
2.65625,1.0234375,2.5625,0.3125,0.9739534883720931,0.12930232558139534,3.260517799352751e-05,805
0.1474609375,0.87109375,0.0,0.345703125,0.9737917087967645,0.12948432760364004,3.276699029126214e-05,810
2.34375,0.51953125,2.3125,0.30859375,0.9736299292214358,0.12966632962588473,3.300970873786408e-05,815
3.046875,1.171875,2.9375,0.28515625,0.9734681496461072,0.12984833164812942,3.3171521035598704e-05,820
3.203125,0.890625,3.140625,0.29296875,0.9733063700707786,0.13003033367037412,3.341423948220065e-05,825
3.203125,1.1484375,3.09375,0.287109375,0.97314459049545,0.1302123356926188,3.357605177993528e-05,830
2.578125,1.3046875,2.4375,0.287109375,0.9729828109201213,0.1303943377148635,3.3818770226537214e-05,835
2.390625,0.3984375,2.375,0.267578125,0.9728210313447927,0.1305763397371082,3.398058252427185e-05,840
3.984375,0.68359375,3.96875,0.27734375,0.9726592517694641,0.1307583417593529,3.422330097087379e-05,845
0.167724609375,1.0703125,0.0,0.271484375,0.9724974721941355,0.13094034378159758,3.438511326860842e-05,850
0.136962890625,0.8359375,0.0,0.275390625,0.9723356926188069,0.13112234580384227,3.4627831715210354e-05,855
0.158447265625,1.0,0.0,0.275390625,0.9721739130434782,0.13130434782608696,3.4789644012944984e-05,860
2.0,1.03125,1.8984375,0.25390625,0.9720121334681496,0.13148634984833166,3.503236245954693e-05,865
2.84375,0.384765625,2.84375,0.28125,0.971850353892821,0.13166835187057635,3.519417475728156e-05,870
2.8125,1.484375,2.671875,0.28515625,0.9716885743174924,0.13185035389282104,3.54368932038835e-05,875
2.28125,1.09375,2.15625,0.400390625,0.9715267947421637,0.13203235591506574,3.5598705501618125e-05,880
3.515625,2.21875,3.265625,0.404296875,0.9713650151668352,0.13221435793731043,3.584142394822007e-05,885
0.259033203125,1.671875,0.0,0.373046875,0.9712032355915066,0.13239635995955512,3.60032362459547e-05,890
2.8125,0.80078125,2.734375,0.419921875,0.971041456016178,0.1325783619817998,3.624595469255664e-05,895
2.78125,1.3359375,2.65625,0.267578125,0.9708796764408494,0.1327603640040445,3.6407766990291265e-05,900
2.484375,1.0078125,2.375,0.302734375,0.9707178968655207,0.13294236602628917,3.665048543689321e-05,905
2.359375,0.57421875,2.328125,0.232421875,0.9705561172901921,0.1331243680485339,3.681229773462783e-05,910
0.236572265625,1.59375,0.0,0.236328125,0.9703943377148635,0.13330637007077856,3.7055016181229774e-05,915
2.46875,1.0078125,2.375,0.25,0.9702325581395349,0.13348837209302328,3.7216828478964405e-05,920
0.1778564453125,1.15625,0.0,0.2353515625,0.9700707785642063,0.13367037411526794,3.745954692556635e-05,925
2.5,1.09375,2.40625,0.25,0.9699089989888776,0.13385237613751266,3.762135922330097e-05,930
2.75,0.458984375,2.734375,0.2392578125,0.969747219413549,0.13403437815975733,3.7864077669902914e-05,935
3.6875,1.0859375,3.625,0.2353515625,0.9695854398382204,0.13421638018200202,3.802588996763754e-05,940
0.156982421875,0.98828125,0.0,0.2421875,0.9694236602628918,0.1343983822042467,3.826860841423948e-05,945
2.484375,0.54296875,2.453125,0.25,0.9692618806875632,0.1345803842264914,3.843042071197411e-05,950
0.1768798828125,1.1484375,0.0,0.2255859375,0.9691001011122345,0.1347623862487361,3.8673139158576054e-05,955
2.796875,1.046875,2.71875,0.232421875,0.968938321536906,0.1349443882709808,3.883495145631068e-05,960
2.671875,2.390625,2.390625,0.3359375,0.9687765419615774,0.13512639029322548,3.907766990291262e-05,965
2.625,0.75,2.5625,0.271484375,0.9686147623862488,0.13530839231547018,3.923948220064725e-05,970
0.1715087890625,1.0859375,0.0,0.240234375,0.9684529828109201,0.13549039433771487,3.948220064724919e-05,975
2.984375,1.7890625,2.8125,0.21875,0.9682912032355915,0.13567239635995956,3.964401294498382e-05,980
3.6875,0.68359375,3.6875,0.30078125,0.9681294236602629,0.13585439838220426,3.988673139158576e-05,985
2.75,1.84375,2.5625,0.216796875,0.9679676440849343,0.13603640040444895,4.004854368932039e-05,990
2.40625,0.5546875,2.375,0.240234375,0.9678058645096057,0.13621840242669364,4.029126213592233e-05,995
2.640625,1.671875,2.453125,0.23828125,0.967644084934277,0.13640040444893833,4.0453074433656965e-05,1000
0.13623046875,0.82421875,0.0,0.234375,0.9674823053589484,0.13658240647118303,4.06957928802589e-05,1005
2.75,1.203125,2.640625,0.259765625,0.9673205257836198,0.13676440849342772,4.085760517799353e-05,1010
2.5,0.76171875,2.453125,0.212890625,0.9671587462082912,0.1369464105156724,4.1100323624595475e-05,1015
2.171875,1.3671875,2.03125,0.21875,0.9669969666329626,0.13712841253791708,4.12621359223301e-05,1020
2.078125,0.78125,2.03125,0.201171875,0.9668351870576339,0.1373104145601618,4.150485436893204e-05,1025
0.197509765625,1.2890625,0.0,0.20703125,0.9666734074823053,0.13749241658240646,4.166666666666667e-05,1030
3.359375,1.5703125,3.234375,0.2060546875,0.9665116279069768,0.13767441860465118,4.1909385113268615e-05,1035
2.828125,1.015625,2.765625,0.2109375,0.9663498483316482,0.13785642062689585,4.207119741100324e-05,1040
0.0948486328125,0.5390625,0.0,0.2060546875,0.9661880687563195,0.13803842264914057,4.231391585760518e-05,1045
0.1116943359375,0.6328125,0.0,0.2431640625,0.9660262891809909,0.13822042467138523,4.2475728155339805e-05,1050
4.09375,1.3203125,4.03125,0.22265625,0.9658645096056623,0.13840242669362993,4.271844660194175e-05,1055
2.46875,2.0625,2.25,0.1962890625,0.9657027300303337,0.13858442871587462,4.288025889967638e-05,1060
0.143310546875,0.88671875,0.0,0.203125,0.9655409504550051,0.1387664307381193,4.312297734627832e-05,1065
2.75,1.390625,2.640625,0.212890625,0.9653791708796764,0.138948432760364,4.3284789644012946e-05,1070
0.078369140625,0.42578125,0.0,0.1904296875,0.9652173913043478,0.1391304347826087,4.352750809061489e-05,1075
2.640625,0.71875,2.625,0.1884765625,0.9650556117290192,0.1393124368048534,4.368932038834951e-05,1080
2.53125,0.87109375,2.484375,0.1904296875,0.9648938321536906,0.13949443882709808,4.393203883495146e-05,1085
2.40625,0.255859375,2.453125,0.193359375,0.964732052578362,0.13967644084934278,4.4093851132686086e-05,1090
2.5,1.1875,2.390625,0.1884765625,0.9645702730030333,0.13985844287158747,4.433656957928803e-05,1095
2.515625,1.0703125,2.4375,0.2109375,0.9644084934277047,0.14004044489383216,4.449838187702265e-05,1100
2.859375,1.2265625,2.75,0.2353515625,0.9642467138523761,0.14022244691607685,4.4741100323624595e-05,1105
0.1019287109375,0.5546875,0.0,0.2431640625,0.9640849342770476,0.14040444893832155,4.4902912621359226e-05,1110
2.3125,1.1328125,2.21875,0.2138671875,0.9639231547017189,0.14058645096056624,4.514563106796117e-05,1115
0.160888671875,0.9921875,0.0,0.212890625,0.9637613751263903,0.14076845298281093,4.530744336569579e-05,1120
2.890625,0.8046875,2.875,0.1748046875,0.9635995955510617,0.14095045500505562,4.5550161812297735e-05,1125
2.71875,0.5234375,2.71875,0.1806640625,0.9634378159757331,0.14113245702730032,4.5711974110032366e-05,1130
2.859375,1.2421875,2.75,0.263671875,0.9632760364004045,0.14131445904954498,4.59546925566343e-05,1135
0.192138671875,1.203125,0.0,0.22265625,0.9631142568250758,0.1414964610717897,4.611650485436894e-05,1140
2.6265869140625,0.0,2.703125,0.171875,0.9629524772497472,0.1416784630940344,4.6359223300970875e-05,1145
3.25,1.953125,3.0625,0.2158203125,0.9627906976744186,0.1418604651162791,4.6521035598705506e-05,1150
2.953125,2.21875,2.734375,0.1953125,0.96262891809909,0.14204246713852375,4.676375404530744e-05,1155
0.195556640625,1.2421875,0.0,0.1884765625,0.9624671385237613,0.14222446916076847,4.692556634304207e-05,1160
3.171875,1.421875,3.0625,0.203125,0.9623053589484327,0.14240647118301314,4.7168284789644015e-05,1165
2.703125,0.37109375,2.75,0.193359375,0.9621435793731041,0.14258847320525783,4.7330097087378646e-05,1170
2.515625,2.5625,2.21875,0.1875,0.9619817997977755,0.14277047522750252,4.757281553398059e-05,1175
2.328125,1.3125,2.203125,0.177734375,0.961820020222447,0.14295247724974725,4.773462783171521e-05,1180
2.5,1.875,2.3125,0.19140625,0.9616582406471184,0.1431344792719919,4.7977346278317155e-05,1185
3.0625,0.82421875,3.03125,0.1943359375,0.9614964610717897,0.1433164812942366,4.8139158576051786e-05,1190
3.15625,1.375,3.0625,0.2041015625,0.9613346814964611,0.1434984833164813,4.838187702265373e-05,1195
2.765625,0.61328125,2.765625,0.1650390625,0.9611729019211325,0.143680485338726,4.854368932038835e-05,1200
3.390625,0.4140625,3.453125,0.1611328125,0.9610111223458039,0.14386248736097068,4.8786407766990296e-05,1205
3.28125,0.5703125,3.3125,0.1630859375,0.9608493427704752,0.14404448938321537,4.894822006472492e-05,1210
0.1309814453125,0.79296875,0.0,0.1669921875,0.9606875631951466,0.14422649140546007,4.919093851132686e-05,1215
2.90625,1.1015625,2.84375,0.1796875,0.960525783619818,0.14440849342770476,4.935275080906149e-05,1220
2.6875,1.5625,2.5625,0.201171875,0.9603640040444894,0.14459049544994945,4.9595469255663436e-05,1225
2.46875,0.5234375,2.46875,0.1669921875,0.9602022244691608,0.14477249747219414,4.975728155339806e-05,1230
2.625,0.51171875,2.640625,0.15234375,0.9600404448938321,0.14495449949443884,5e-05,1235
0.0867919921875,0.466796875,0.0,0.189453125,0.9598786653185035,0.14513650151668353,5.016181229773463e-05,1240
2.203125,0.8515625,2.15625,0.208984375,0.9597168857431749,0.14531850353892822,5.0404530744336576e-05,1245
2.671875,0.99609375,2.625,0.171875,0.9595551061678463,0.14550050556117292,5.056634304207119e-05,1250
0.1666259765625,1.046875,0.0,0.142578125,0.9593933265925176,0.1456825075834176,5.0809061488673136e-05,1255
0.100341796875,0.4921875,0.0,0.28515625,0.959231547017189,0.1458645096056623,5.0970873786407766e-05,1260
2.46875,1.0078125,2.40625,0.2158203125,0.9590697674418605,0.146046511627907,5.121359223300971e-05,1265
2.765625,2.40625,2.5,0.1943359375,0.9589079878665319,0.14622851365015166,5.137540453074434e-05,1270
2.8125,1.359375,2.703125,0.1884765625,0.9587462082912033,0.14641051567239638,5.161812297734628e-05,1275
3.046875,1.4921875,2.9375,0.1484375,0.9585844287158746,0.14659251769464104,5.1779935275080907e-05,1280
2.84375,0.61328125,2.859375,0.1669921875,0.958422649140546,0.14677451971688577,5.202265372168284e-05,1285
2.671875,1.078125,2.609375,0.1572265625,0.9582608695652174,0.14695652173913043,5.218446601941748e-05,1290
0.1202392578125,0.703125,0.0,0.1669921875,0.9580990899898888,0.14713852376137515,5.2427184466019416e-05,1295
3.0625,1.703125,2.921875,0.15234375,0.9579373104145602,0.14732052578361982,5.2588996763754053e-05,1300
2.359375,0.609375,2.34375,0.1591796875,0.9577755308392315,0.1475025278058645,5.283171521035599e-05,1305
0.134521484375,0.7890625,0.0,0.1787109375,0.9576137512639029,0.1476845298281092,5.299352750809061e-05,1310
2.65625,1.2890625,2.5625,0.1572265625,0.9574519716885743,0.1478665318503539,5.3236245954692556e-05,1315
2.703125,0.57421875,2.71875,0.171875,0.9572901921132457,0.1480485338725986,5.339805825242719e-05,1320
